'RieszEuclidean.boxNorm_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxNorm_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.euclideanBox_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.innerBox_subset_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.translateBox_subset_outer' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.box_symmDiff_subset_shell' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.volume_real_euclideanBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.volume_real_box_symmDiff_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.box_shell_ratio_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.box_symmDiff_ratio_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_setIntegral_sub_le_symmDiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.measurableSet_translate_region' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.volume_translate_region' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.setIntegral_add_right_region' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.boxProbability_integral_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integrableOn_bounded_observable' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_box_translation_error_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.box_translation_error_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_invariant_probability_euclidean_action' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.exists_hull_invariant_probability' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.koopmanIsometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.continuous_koopman' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.koopmanIsometry_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.koopmanIsometry_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.koopmanUnitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.koopmanIsometry_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_stationary_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullPullbackUnitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullPullbackUnitary_apply' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hull_pullback_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hull_pullback_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.continuous_hull_pullback' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.strongContinuous_hullPullbackUnitary' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullKoopmanUnitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullKoopmanUnitary_apply' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.strongContinuous_hullKoopmanUnitary' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullKoopmanUnitary_add' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullKoopmanUnitary_zero' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullKoopmanUnitary_const' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.separableSpace_hullLp' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integral_count_eq_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integral_count_eq_sum_of_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_integral_eq_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_integral_matching_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.WeaklyConverges.tendsto_configurationMeasure_integral' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.exists_configurationMeasure_distinguishing_test' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.countingProfile' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.countingProfile_injective' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.continuous_countingProfile' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.countingProfile_isEmbedding' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.tendsto_iff_vague' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.weaklyConverges_iff_vague' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.unitaryCorrelation' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.continuous_unitaryCorrelation' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_unitaryCorrelation_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.unitaryCorrelation_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.unitaryCorrelation_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.unitaryCorrelation_positiveDefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.unitaryCorrelation_parallelogram' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.unitaryCorrelation_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullCorrelation' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.SeparatedConfiguration.continuous_hullCorrelation' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullCorrelation_positiveDefinite' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'RieszEuclidean.SeparatedConfiguration.hullCorrelation_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.RepresentsCorrelation' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.measure_eq_of_fourierChar_integral_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.RepresentsCorrelation.unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.RepresentsCorrelation.mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.RepresentsCorrelation.unitary_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
